y_pred_svm,y_pred_nb,y_test_svm,y_test_nb
happiness,worry,neutral,worry
worry,neutral,surprise,happiness
happiness,worry,happiness,worry
hate,worry,hate,fun
worry,worry,sadness,love
happiness,neutral,surprise,happiness
neutral,neutral,worry,worry
sadness,neutral,love,sadness
neutral,happiness,neutral,happiness
neutral,happiness,surprise,happiness
worry,neutral,worry,worry
happiness,worry,sadness,worry
worry,neutral,sadness,sadness
happiness,love,surprise,love
neutral,neutral,empty,neutral
worry,happiness,enthusiasm,neutral
love,neutral,love,surprise
worry,neutral,sadness,happiness
worry,worry,sadness,worry
sadness,neutral,sadness,fun
love,neutral,neutral,relief
worry,love,sadness,love
neutral,worry,happiness,neutral
neutral,worry,worry,worry
neutral,happiness,happiness,worry
worry,worry,worry,happiness
neutral,neutral,neutral,neutral
neutral,worry,happiness,surprise
worry,worry,fun,sadness
neutral,neutral,neutral,worry
neutral,worry,worry,neutral
sadness,neutral,happiness,love
worry,neutral,relief,neutral
neutral,neutral,neutral,neutral
sadness,love,enthusiasm,love
neutral,worry,neutral,neutral
neutral,neutral,relief,sadness
neutral,worry,worry,love
worry,neutral,enthusiasm,sadness
worry,happiness,sadness,happiness
neutral,worry,happiness,worry
happiness,neutral,worry,happiness
happiness,neutral,neutral,fun
happiness,neutral,love,neutral
worry,worry,worry,fun
neutral,love,neutral,love
neutral,neutral,neutral,happiness
worry,happiness,neutral,happiness
happiness,worry,happiness,neutral
happiness,worry,fun,worry
neutral,neutral,happiness,love
worry,neutral,worry,love
worry,neutral,neutral,worry
love,love,happiness,neutral
happiness,neutral,surprise,empty
happiness,neutral,happiness,neutral
neutral,neutral,neutral,neutral
neutral,worry,neutral,sadness
sadness,worry,happiness,neutral
neutral,neutral,happiness,neutral
worry,neutral,happiness,enthusiasm
love,neutral,love,neutral
neutral,sadness,neutral,hate
neutral,happiness,sadness,love
neutral,neutral,neutral,happiness
worry,sadness,neutral,sadness
worry,neutral,sadness,worry
worry,love,worry,happiness
happiness,worry,neutral,neutral
sadness,worry,neutral,worry
worry,neutral,happiness,surprise
neutral,worry,fun,sadness
neutral,happiness,worry,neutral
neutral,worry,happiness,sadness
worry,neutral,worry,surprise
neutral,neutral,worry,neutral
neutral,worry,worry,love
sadness,worry,worry,worry
worry,love,worry,love
happiness,worry,surprise,sadness
love,neutral,relief,worry
neutral,neutral,neutral,fun
neutral,love,surprise,love
neutral,happiness,neutral,love
sadness,neutral,worry,worry
worry,neutral,sadness,fun
neutral,neutral,worry,enthusiasm
neutral,worry,relief,happiness
happiness,neutral,neutral,worry
worry,sadness,sadness,worry
happiness,happiness,fun,neutral
worry,neutral,sadness,sadness
happiness,neutral,neutral,empty
neutral,worry,neutral,worry
happiness,worry,happiness,surprise
worry,worry,worry,happiness
happiness,happiness,neutral,neutral
neutral,neutral,surprise,fun
worry,neutral,worry,neutral
worry,worry,fun,sadness
neutral,worry,neutral,worry
worry,neutral,neutral,relief
love,worry,happiness,sadness
neutral,worry,neutral,neutral
neutral,neutral,neutral,worry
neutral,worry,sadness,neutral
happiness,worry,neutral,worry
neutral,worry,worry,fun
neutral,sadness,worry,love
neutral,happiness,neutral,love
happiness,worry,love,neutral
neutral,love,neutral,love
neutral,neutral,happiness,neutral
worry,worry,sadness,neutral
neutral,worry,neutral,worry
worry,hate,sadness,sadness
sadness,worry,sadness,worry
surprise,happiness,love,happiness
love,worry,love,worry
worry,neutral,sadness,neutral
worry,neutral,neutral,neutral
neutral,worry,worry,surprise
neutral,worry,empty,sadness
neutral,worry,neutral,worry
neutral,worry,worry,sadness
neutral,neutral,worry,worry
sadness,worry,relief,sadness
neutral,happiness,worry,fun
neutral,worry,neutral,empty
neutral,neutral,worry,love
worry,worry,neutral,fun
worry,neutral,happiness,relief
worry,neutral,neutral,fun
worry,neutral,neutral,neutral
neutral,happiness,surprise,surprise
worry,happiness,neutral,relief
worry,neutral,sadness,neutral
happiness,love,happiness,love
worry,worry,surprise,love
worry,happiness,sadness,love
sadness,worry,hate,worry
neutral,neutral,sadness,worry
neutral,worry,surprise,worry
worry,worry,happiness,sadness
worry,worry,surprise,sadness
neutral,worry,happiness,boredom
happiness,worry,love,worry
neutral,worry,empty,worry
love,worry,sadness,worry
worry,worry,worry,neutral
happiness,sadness,happiness,neutral
sadness,neutral,neutral,neutral
neutral,worry,neutral,worry
worry,neutral,neutral,empty
worry,neutral,neutral,neutral
worry,worry,neutral,sadness
neutral,neutral,neutral,relief
sadness,worry,happiness,sadness
neutral,worry,worry,neutral
worry,neutral,worry,worry
neutral,worry,love,sadness
worry,neutral,happiness,worry
neutral,neutral,sadness,worry
worry,worry,worry,hate
sadness,neutral,sadness,relief
worry,worry,happiness,neutral
worry,worry,worry,relief
neutral,neutral,neutral,sadness
worry,worry,sadness,sadness
neutral,neutral,worry,neutral
worry,worry,hate,worry
neutral,neutral,relief,sadness
worry,neutral,neutral,happiness
worry,worry,happiness,sadness
happiness,neutral,enthusiasm,surprise
neutral,worry,happiness,sadness
neutral,neutral,neutral,fun
love,neutral,love,neutral
worry,neutral,enthusiasm,worry
worry,neutral,sadness,worry
worry,neutral,worry,neutral
neutral,love,neutral,love
neutral,happiness,sadness,happiness
happiness,happiness,happiness,neutral
worry,worry,worry,sadness
worry,neutral,happiness,neutral
worry,worry,neutral,sadness
neutral,neutral,hate,worry
worry,neutral,surprise,relief
worry,neutral,sadness,neutral
neutral,neutral,hate,worry
worry,worry,worry,sadness
neutral,neutral,relief,happiness
worry,neutral,relief,empty
neutral,neutral,fun,love
neutral,worry,worry,worry
neutral,worry,worry,worry
love,worry,happiness,sadness
happiness,happiness,worry,fun
neutral,neutral,surprise,relief
happiness,neutral,surprise,love
worry,worry,worry,neutral
worry,worry,hate,neutral
neutral,worry,neutral,hate
neutral,worry,hate,sadness
worry,worry,worry,neutral
worry,neutral,worry,happiness
worry,neutral,neutral,neutral
worry,happiness,love,sadness
sadness,neutral,sadness,love
neutral,neutral,worry,happiness
happiness,neutral,happiness,sadness
worry,happiness,neutral,fun
worry,worry,neutral,surprise
neutral,worry,enthusiasm,enthusiasm
hate,worry,sadness,sadness
neutral,neutral,worry,worry
worry,neutral,neutral,neutral
happiness,neutral,worry,neutral
worry,neutral,sadness,neutral
happiness,worry,happiness,worry
worry,worry,sadness,worry
neutral,happiness,neutral,relief
worry,happiness,hate,happiness
neutral,worry,surprise,fun
worry,sadness,worry,happiness
love,worry,love,worry
worry,worry,worry,worry
happiness,worry,fun,worry
worry,worry,neutral,sadness
worry,worry,worry,worry
neutral,happiness,worry,worry
hate,neutral,hate,neutral
hate,worry,sadness,enthusiasm
worry,neutral,happiness,happiness
neutral,neutral,neutral,relief
happiness,love,happiness,surprise
happiness,worry,neutral,love
neutral,worry,happiness,fun
worry,love,sadness,happiness
happiness,neutral,happiness,worry
neutral,worry,sadness,neutral
happiness,neutral,love,neutral
worry,neutral,worry,neutral
worry,worry,sadness,anger
love,worry,love,neutral
love,worry,anger,surprise
love,worry,love,neutral
love,worry,worry,worry
neutral,love,neutral,happiness
neutral,worry,happiness,neutral
neutral,worry,worry,sadness
worry,happiness,sadness,neutral
worry,worry,worry,neutral
worry,sadness,worry,sadness
happiness,happiness,love,fun
love,worry,love,neutral
worry,worry,surprise,worry
love,neutral,worry,love
neutral,neutral,neutral,hate
sadness,neutral,sadness,happiness
happiness,neutral,neutral,neutral
sadness,worry,neutral,sadness
happiness,neutral,sadness,neutral
neutral,happiness,worry,happiness
neutral,neutral,neutral,neutral
neutral,worry,happiness,sadness
happiness,neutral,surprise,neutral
happiness,worry,neutral,sadness
neutral,worry,relief,neutral
neutral,neutral,worry,hate
neutral,neutral,worry,worry
neutral,worry,happiness,worry
neutral,neutral,happiness,happiness
worry,neutral,worry,worry
happiness,worry,neutral,sadness
neutral,worry,neutral,surprise
hate,neutral,hate,sadness
neutral,happiness,neutral,worry
happiness,neutral,love,neutral
worry,worry,love,surprise
neutral,love,worry,love
worry,neutral,sadness,happiness
happiness,love,fun,love
worry,neutral,worry,worry
happiness,neutral,relief,worry
happiness,neutral,sadness,fun
neutral,love,enthusiasm,love
happiness,happiness,neutral,happiness
worry,worry,neutral,worry
neutral,worry,love,worry
neutral,worry,worry,sadness
neutral,happiness,neutral,worry
love,neutral,happiness,neutral
happiness,worry,happiness,neutral
worry,love,neutral,neutral
neutral,happiness,neutral,happiness
neutral,sadness,happiness,worry
worry,neutral,happiness,neutral
worry,worry,worry,surprise
happiness,neutral,neutral,happiness
worry,worry,worry,surprise
worry,neutral,worry,neutral
neutral,worry,neutral,happiness
worry,happiness,neutral,love
worry,happiness,neutral,neutral
worry,worry,relief,worry
worry,neutral,neutral,neutral
sadness,sadness,worry,sadness
neutral,happiness,love,worry
worry,neutral,worry,worry
neutral,neutral,boredom,worry
love,sadness,love,sadness
neutral,worry,neutral,happiness
neutral,happiness,neutral,fun
worry,neutral,worry,sadness
neutral,neutral,neutral,enthusiasm
worry,love,sadness,neutral
neutral,worry,neutral,relief
neutral,worry,enthusiasm,relief
happiness,love,happiness,love
worry,happiness,neutral,neutral
worry,neutral,neutral,neutral
sadness,neutral,worry,surprise
neutral,worry,surprise,neutral
worry,neutral,worry,fun
neutral,neutral,neutral,worry
worry,neutral,enthusiasm,relief
worry,worry,surprise,worry
worry,neutral,neutral,neutral
worry,neutral,worry,happiness
worry,worry,worry,happiness
sadness,neutral,love,happiness
neutral,neutral,happiness,relief
love,worry,worry,hate
love,neutral,happiness,love
happiness,worry,worry,neutral
neutral,sadness,fun,worry
worry,worry,worry,happiness
worry,neutral,happiness,neutral
worry,happiness,worry,happiness
neutral,neutral,worry,happiness
worry,sadness,worry,sadness
happiness,worry,happiness,sadness
hate,worry,worry,love
worry,worry,love,neutral
love,love,love,neutral
sadness,neutral,worry,neutral
happiness,happiness,neutral,fun
worry,neutral,neutral,fun
neutral,neutral,sadness,surprise
neutral,worry,neutral,relief
worry,worry,fun,worry
worry,worry,sadness,worry
neutral,worry,neutral,worry
happiness,worry,happiness,hate
worry,neutral,enthusiasm,neutral
sadness,neutral,sadness,neutral
neutral,neutral,neutral,worry
neutral,neutral,surprise,neutral
happiness,worry,happiness,sadness
worry,neutral,sadness,empty
neutral,happiness,relief,happiness
worry,sadness,worry,hate
happiness,worry,happiness,worry
happiness,worry,love,worry
happiness,neutral,happiness,happiness
love,neutral,love,neutral
worry,worry,sadness,sadness
worry,happiness,hate,love
worry,worry,happiness,worry
happiness,worry,happiness,hate
neutral,worry,surprise,neutral
happiness,worry,worry,worry
love,neutral,love,empty
neutral,worry,surprise,hate
worry,worry,sadness,worry
worry,worry,empty,love
neutral,neutral,worry,relief
neutral,worry,happiness,worry
neutral,neutral,love,worry
neutral,worry,worry,relief
sadness,neutral,sadness,relief
neutral,neutral,enthusiasm,relief
neutral,worry,fun,neutral
happiness,neutral,surprise,neutral
hate,worry,worry,neutral
worry,worry,sadness,empty
worry,happiness,worry,happiness
worry,neutral,sadness,sadness
neutral,worry,sadness,empty
happiness,neutral,happiness,worry
neutral,worry,neutral,sadness
happiness,neutral,happiness,sadness
relief,love,happiness,love
worry,happiness,happiness,love
neutral,worry,worry,neutral
worry,worry,relief,surprise
neutral,worry,hate,happiness
neutral,neutral,neutral,worry
neutral,worry,worry,happiness
worry,worry,neutral,happiness
worry,worry,worry,worry
happiness,worry,fun,worry
worry,neutral,worry,worry
worry,neutral,worry,worry
neutral,neutral,neutral,neutral
worry,neutral,worry,neutral
love,worry,surprise,worry
sadness,neutral,sadness,fun
worry,love,neutral,happiness
worry,neutral,relief,sadness
neutral,worry,worry,worry
worry,neutral,fun,neutral
worry,worry,sadness,worry
happiness,neutral,surprise,fun
worry,worry,love,happiness
love,neutral,worry,neutral
worry,neutral,worry,fun
worry,neutral,sadness,happiness
neutral,worry,happiness,worry
neutral,happiness,sadness,neutral
happiness,neutral,enthusiasm,neutral
neutral,worry,worry,worry
neutral,neutral,sadness,surprise
happiness,neutral,neutral,fun
neutral,neutral,sadness,love
happiness,love,surprise,happiness
neutral,worry,worry,neutral
worry,neutral,worry,worry
sadness,worry,sadness,worry
neutral,love,sadness,happiness
neutral,happiness,neutral,neutral
worry,neutral,fun,love
neutral,neutral,neutral,neutral
worry,worry,worry,hate
happiness,love,worry,love
neutral,happiness,worry,love
neutral,neutral,neutral,happiness
neutral,neutral,sadness,fun
love,neutral,sadness,worry
relief,neutral,happiness,relief
worry,worry,worry,love
happiness,love,happiness,happiness
worry,love,sadness,happiness
neutral,neutral,neutral,neutral
neutral,neutral,fun,happiness
worry,worry,neutral,fun
neutral,worry,happiness,sadness
happiness,happiness,happiness,happiness
worry,happiness,relief,happiness
worry,worry,worry,worry
worry,neutral,worry,surprise
worry,worry,worry,happiness
worry,worry,worry,neutral
worry,neutral,happiness,fun
happiness,worry,neutral,neutral
neutral,worry,sadness,sadness
neutral,worry,neutral,fun
happiness,neutral,enthusiasm,happiness
love,worry,love,worry
neutral,happiness,neutral,love
happiness,neutral,fun,worry
love,worry,love,neutral
neutral,happiness,surprise,worry
neutral,worry,empty,neutral
happiness,neutral,happiness,neutral
sadness,worry,hate,neutral
worry,happiness,neutral,surprise
neutral,worry,neutral,sadness
love,happiness,happiness,neutral
worry,neutral,surprise,happiness
hate,neutral,worry,fun
sadness,worry,relief,neutral
neutral,happiness,worry,worry
happiness,worry,happiness,worry
worry,worry,worry,hate
neutral,worry,happiness,relief
worry,worry,worry,hate
neutral,worry,neutral,worry
neutral,worry,sadness,neutral
worry,neutral,neutral,enthusiasm
neutral,worry,happiness,relief
worry,neutral,worry,relief
worry,sadness,surprise,sadness
worry,neutral,neutral,happiness
worry,worry,worry,worry
sadness,neutral,sadness,worry
sadness,neutral,sadness,happiness
worry,neutral,neutral,happiness
love,neutral,love,love
worry,worry,worry,fun
neutral,neutral,worry,sadness
neutral,worry,neutral,surprise
worry,neutral,happiness,neutral
worry,worry,sadness,worry
love,worry,happiness,fun
neutral,neutral,neutral,hate
worry,worry,worry,neutral
neutral,worry,neutral,sadness
love,neutral,happiness,surprise
worry,worry,worry,fun
worry,worry,neutral,fun
sadness,neutral,worry,neutral
happiness,neutral,surprise,sadness
neutral,worry,love,hate
worry,happiness,worry,worry
sadness,worry,sadness,sadness
neutral,neutral,surprise,worry
neutral,worry,happiness,neutral
love,neutral,love,worry
neutral,worry,neutral,worry
happiness,worry,worry,worry
neutral,neutral,worry,relief
neutral,worry,happiness,worry
sadness,neutral,happiness,happiness
worry,neutral,surprise,fun
love,neutral,happiness,neutral
neutral,neutral,worry,fun
worry,neutral,worry,worry
worry,worry,sadness,neutral
neutral,worry,neutral,sadness
worry,worry,worry,sadness
love,neutral,love,happiness
worry,happiness,sadness,neutral
worry,neutral,neutral,neutral
worry,happiness,neutral,happiness
worry,worry,fun,neutral
worry,worry,worry,love
worry,love,relief,love
neutral,neutral,neutral,neutral
happiness,neutral,love,neutral
sadness,neutral,sadness,worry
worry,neutral,sadness,happiness
love,neutral,happiness,worry
neutral,worry,neutral,sadness
neutral,worry,love,sadness
sadness,neutral,love,love
surprise,worry,worry,happiness
happiness,neutral,love,neutral
worry,neutral,sadness,neutral
worry,worry,worry,worry
neutral,neutral,neutral,neutral
neutral,worry,neutral,relief
love,neutral,love,enthusiasm
neutral,worry,fun,neutral
neutral,neutral,neutral,sadness
neutral,worry,sadness,surprise
worry,love,fun,neutral
neutral,neutral,empty,love
surprise,worry,neutral,sadness
worry,worry,worry,happiness
love,neutral,love,sadness
neutral,sadness,sadness,relief
neutral,neutral,happiness,happiness
neutral,worry,neutral,worry
happiness,neutral,happiness,neutral
worry,worry,happiness,worry
worry,neutral,surprise,sadness
surprise,worry,sadness,happiness
worry,neutral,worry,surprise
happiness,neutral,happiness,fun
worry,worry,hate,fun
worry,neutral,anger,neutral
neutral,neutral,happiness,sadness
hate,neutral,neutral,neutral
sadness,love,worry,love
neutral,neutral,surprise,fun
neutral,worry,love,love
neutral,worry,neutral,surprise
neutral,neutral,neutral,empty
neutral,worry,love,sadness
happiness,neutral,fun,sadness
worry,neutral,worry,neutral
happiness,neutral,happiness,neutral
worry,neutral,worry,surprise
neutral,neutral,neutral,worry
neutral,worry,surprise,worry
neutral,happiness,happiness,worry
neutral,neutral,sadness,boredom
neutral,sadness,happiness,boredom
neutral,neutral,worry,love
worry,worry,worry,sadness
love,neutral,love,worry
love,neutral,love,worry
neutral,worry,sadness,surprise
neutral,worry,neutral,worry
neutral,neutral,empty,happiness
love,worry,sadness,worry
neutral,neutral,neutral,fun
worry,worry,worry,neutral
happiness,worry,worry,sadness
happiness,worry,happiness,worry
neutral,neutral,surprise,surprise
neutral,worry,happiness,worry
worry,worry,surprise,sadness
worry,neutral,worry,sadness
worry,worry,happiness,happiness
worry,neutral,worry,fun
sadness,neutral,worry,love
sadness,neutral,sadness,fun
neutral,happiness,happiness,love
neutral,neutral,neutral,sadness
neutral,love,sadness,love
love,happiness,love,enthusiasm
neutral,happiness,neutral,happiness
neutral,neutral,neutral,relief
neutral,neutral,worry,neutral
neutral,neutral,fun,neutral
worry,worry,surprise,happiness
happiness,worry,love,worry
neutral,neutral,fun,worry
neutral,worry,neutral,sadness
love,neutral,worry,neutral
worry,neutral,neutral,neutral
neutral,worry,neutral,worry
worry,neutral,worry,enthusiasm
worry,neutral,neutral,worry
worry,love,neutral,happiness
neutral,worry,neutral,hate
neutral,neutral,love,neutral
neutral,happiness,happiness,love
neutral,neutral,surprise,enthusiasm
worry,worry,worry,sadness
worry,worry,worry,worry
happiness,neutral,happiness,surprise
love,happiness,sadness,surprise
worry,neutral,neutral,relief
worry,neutral,worry,neutral
happiness,neutral,surprise,hate
neutral,neutral,neutral,neutral
happiness,neutral,happiness,worry
neutral,sadness,happiness,worry
worry,worry,neutral,worry
worry,worry,empty,neutral
happiness,love,happiness,love
neutral,neutral,love,enthusiasm
neutral,love,neutral,happiness
happiness,worry,neutral,neutral
neutral,worry,neutral,sadness
happiness,worry,happiness,happiness
worry,worry,worry,worry
neutral,love,empty,love
happiness,worry,happiness,happiness
sadness,worry,sadness,sadness
worry,neutral,worry,fun
love,neutral,neutral,relief
neutral,worry,fun,love
neutral,worry,neutral,happiness
neutral,worry,neutral,happiness
neutral,neutral,neutral,sadness
neutral,neutral,surprise,neutral
neutral,neutral,sadness,fun
worry,neutral,worry,sadness
happiness,love,love,sadness
worry,neutral,worry,happiness
worry,sadness,worry,love
love,worry,love,worry
neutral,sadness,enthusiasm,sadness
neutral,neutral,happiness,neutral
worry,neutral,hate,love
worry,worry,neutral,surprise
love,worry,love,worry
worry,worry,sadness,neutral
neutral,neutral,neutral,worry
sadness,neutral,sadness,neutral
worry,worry,sadness,hate
happiness,worry,happiness,worry
sadness,neutral,worry,neutral
sadness,neutral,sadness,love
worry,neutral,love,neutral
love,worry,love,surprise
neutral,neutral,empty,neutral
neutral,neutral,fun,neutral
happiness,worry,neutral,worry
happiness,neutral,happiness,worry
worry,neutral,enthusiasm,worry
neutral,worry,neutral,worry
happiness,neutral,relief,happiness
worry,neutral,fun,relief
worry,worry,neutral,surprise
worry,neutral,love,love
worry,worry,worry,sadness
worry,happiness,worry,happiness
neutral,worry,sadness,happiness
worry,worry,worry,worry
worry,neutral,fun,worry
worry,happiness,worry,worry
neutral,love,empty,love
worry,neutral,enthusiasm,neutral
neutral,neutral,neutral,neutral
neutral,neutral,happiness,neutral
sadness,worry,worry,sadness
sadness,worry,sadness,worry
worry,neutral,hate,happiness
neutral,neutral,sadness,sadness
love,happiness,love,happiness
happiness,neutral,happiness,sadness
happiness,neutral,surprise,worry
love,worry,hate,happiness
love,happiness,love,empty
love,worry,love,worry
happiness,neutral,happiness,worry
neutral,love,worry,surprise
happiness,happiness,neutral,happiness
sadness,worry,hate,worry
worry,neutral,happiness,sadness
neutral,worry,neutral,sadness
sadness,love,hate,sadness
neutral,neutral,neutral,neutral
neutral,happiness,surprise,happiness
worry,love,happiness,neutral
neutral,neutral,worry,neutral
happiness,neutral,fun,neutral
worry,neutral,worry,neutral
neutral,neutral,surprise,happiness
worry,love,sadness,love
love,worry,love,neutral
happiness,worry,happiness,neutral
neutral,happiness,neutral,love
happiness,neutral,love,worry
neutral,neutral,love,love
worry,worry,sadness,worry
